Date,TSLA_QUANTITY_FAILS,close,open,low,high,volume
2020-10-02,13296,415.33,422.79,415.33,449.65,74601518
2020-10-05,6702,427.18,425.49,425.49,437.99,46338868
2020-10-07,2753,429.9,428.58,417.584,434.1,44524618
2020-10-08,2318,446.9,444.22,437.6,455.0,41310514
2020-10-09,4407,436.0,445.54,436.0,456.0545,29686649
2020-10-13,147212,466.04,447.8,441.7,466.76,34559426
2020-10-14,7711,478.0,464.17,462.68,478.0,50424434
2020-10-15,10615,453.64,468.64,451.8,475.97,36777648
2020-10-16,3579,458.07,474.01,440.36,474.01,34368444
2020-10-20,107235,442.35,451.84,424.1564,451.84,32920123
2020-10-21,5403,423.92,429.0,423.92,446.48,33831012
2020-10-27,87745,430.26,434.95,424.0,444.3,23194081
2020-10-29,246015,428.89,411.69,411.69,430.78,23309962
2020-10-30,5662,390.52,417.0342,390.02,421.4202,42774030
2020-11-02,243436,404.45,411.0,403.7,426.9689,29286583
2020-11-03,6169,442.7,420.07,407.47,442.7,35215425
2020-11-04,529833,429.58,438.26,429.58,450.7,33637572
2020-11-05,24832,438.88,437.2,427.7747,446.0,29195899
2020-11-09,16773,422.16,447.7,422.16,464.1,35787451
2020-11-10,12671,428.76,426.93,401.5033,434.75,30307410
2020-11-12,135159,417.06,418.51,417.06,429.0,20591065
2020-11-16,2,408.94,419.51,408.94,422.1553,28064363
2020-11-18,87048,489.73,466.87,447.2905,521.0,79155595
2020-11-19,13385,505.5,497.0,497.0,529.0462,63453289
2020-11-20,33151,492.83,501.44,492.83,526.4,33689045
2020-11-23,11197,531.27,504.1,504.1,539.0,52113331
2020-11-24,14021,557.94,544.3,543.7,563.58,53884464
2020-11-25,1682,587.0,550.63,550.63,598.0,50425434
2020-11-27,97,588.51,597.76,585.12,617.98,38150902
2020-11-30,1800,573.8,625.49,561.83,625.49,64328312
2020-12-02,2806,580.16,566.14,550.9,580.16,48989096
2020-12-03,461,614.36,614.49,605.56,618.16,44276429
2020-12-04,351131,619.79,609.95,590.8,621.37,29832670
2020-12-07,271,653.92,621.3019,606.48,653.92,58426852
2020-12-08,5900,663.83,644.114,632.9,680.74,65759972
2020-12-09,751,621.59,656.13,614.0,678.17,74636333
2020-12-11,6223,610.99,619.96,607.2,638.0,46583215
2020-12-15,100,643.62,664.39,635.4,664.39,47199070
2020-12-16,5505,638.38,633.31,623.0,652.4,44096024
2020-12-17,1382452,662.9,655.2,636.5,662.9,57881629
2020-12-18,8057,722.0,699.8,645.05,722.0,228474192
2020-12-21,7741,671.89,673.32,671.55,693.5,59831576
2020-12-22,395748,653.33,673.0,614.3,673.0,52166656
2020-12-23,20628,656.52,642.7,641.7151,656.52,33884189
2020-12-24,4479,671.28,649.62,649.62,672.97,23697536
2020-12-28,93808,686.56,707.44,686.56,708.5,32431895
2020-12-29,6854,668.48,675.0,668.48,681.0,23673708
2020-12-30,2279,712.78,677.0,677.0,731.2,42885973
2020-12-31,44113,731.51,723.36,694.78,753.9,50767681
2021-01-04,7111,747.44,727.35,724.9574,747.44,51040866
2021-01-05,77616,745.46,736.97,736.97,773.63,33352439
2021-01-06,12282,761.6,782.64,761.6,800.0,45291088
2021-01-07,1951,836.57,778.34,778.34,840.49,54032643
2021-01-08,2682,885.77,890.0,860.82,921.54,77570687
2021-01-11,102030,849.57,875.0,811.8469,888.85,60580299
2021-01-12,22211,886.48,840.0,837.34,886.48,47942125
2021-01-13,25242,881.59,865.14,834.0,881.59,33324971
2021-01-14,25886,845.0,867.17,845.0,902.0,31392584
2021-01-15,12418,854.65,862.0,844.8,877.1,39991174
2021-01-19,10285,849.15,862.5,849.15,869.0,25761535
2021-01-20,6834,853.8,866.45,839.24,878.9,25778882
2021-01-21,2969,867.18,886.0,867.18,889.938,20752180
2021-01-22,40,855.59,851.68,843.56,856.0,21065317
2021-01-25,24002,919.0,861.0,861.0,925.3,41498523
2021-01-26,20680,923.63,904.76,889.7,933.3,23193484
2021-01-27,6156,889.97,913.42,885.17,913.42,28141585
2021-01-28,5685,873.53,829.0,804.0,873.53,26629299
2021-01-29,12260,825.56,835.6939,805.8,871.12,36602359
2021-02-01,12551,881.48,853.71,802.3724,881.48,26160432
2021-02-02,174912,879.56,874.15,874.15,917.8,24432884
2021-02-03,1634,861.36,896.52,861.36,905.97,18804784
2021-02-04,22081,851.52,869.0,851.52,888.7,16142035
2021-02-05,1138,874.64,873.0,861.22,889.28,19453690
2021-02-08,502,889.86,875.95,875.95,899.38,20553997
2021-02-09,9220,863.47,859.2,859.2,883.6,15270110
2021-02-10,4876,810.47,876.866,810.47,876.866,37845816
2021-02-11,12680,819.98,832.6,819.98,868.1029,22536327
2021-02-12,98103,825.2,840.77,787.4402,840.77,24709075
2021-02-17,199231,799.76,796.64,793.91,807.97,27241056
2021-02-18,1802,787.52,807.5,776.77,807.5,18693493
2021-02-19,3289,790.1,811.0,790.1,819.2535,19682101
2021-02-22,3151,720.3,793.26,720.3,796.1,38298653
2021-02-23,1911,710.28,662.53,630.0,737.791,66662116
2021-02-24,4665,742.31,711.96,700.88,776.0,37814903
2021-02-25,8528,701.76,730.73,689.64,753.3735,39200231
2021-02-26,3086,680.4,714.0,674.1,714.0,41754367
2021-03-01,23672,732.02,719.26,690.87,911.0,28415010
2021-03-02,88253,717.07,753.59,688.0,753.59,23836150
2021-03-03,2003,663.4,720.72,657.922,720.72,31179037
2021-03-04,35293,644.55,684.0,620.0,903.21,67997315
2021-03-05,17040,620.92,637.15,559.37,655.0988,93299708
2021-03-08,14750,590.0,622.51,583.99,622.598,53773609
2021-03-09,118683,705.07,620.56,596.22,705.07,69280957
2021-03-10,17252,678.15,705.7,678.15,730.12,62365809
2021-03-11,2755,704.5,700.8,683.84,736.5,37296220
2021-03-12,207186,708.04,680.0,672.0,708.04,34357064
2021-03-15,34981,719.33,722.62,709.6,744.9,30845523
2021-03-16,114425,693.75,723.95,693.75,723.95,33546333
2021-03-17,2236,731.52,671.76,657.24,731.52,40683414
2021-03-18,9366,680.02,709.55,659.0,709.55,34979240
2021-03-19,4317,685.3,647.9,628.2549,685.3,42949556
2021-03-22,12916,696.0,712.14,693.46,733.44,39716371
2021-03-23,34360,680.41,696.12,678.16,696.12,31037629
2021-03-26,2835,646.79,646.71,607.84,669.69,33991694
2021-03-29,4582,616.59,622.31,616.59,646.15,29683311
2021-03-30,24033,638.43,615.26,615.26,665.4,40357365
2021-03-31,6823,699.25,646.93,646.93,699.25,33814738
2021-04-01,16918,674.27,711.21,674.27,726.5504,36305521
