Date,QSR_QUANTITY_FAILS,close,open,low,high,volume
2020-12-10,754,62.42,63.14,62.42,63.14,997867
2020-12-11,1219,63.16,62.07,62.07,63.16,863044
2020-12-14,8817,61.51,63.26,61.51,64.58,1610882
2020-12-15,305,63.72,62.99,62.99,63.72,1590460
2020-12-16,33710,62.0,63.14,61.91,65.81,3412615
2020-12-17,3364,64.69,64.13,63.0,64.69,2485677
2020-12-18,861,62.38,63.88,61.63,64.03,3172961
2020-12-21,20145,64.29,61.84,60.81,64.52,1176933
2020-12-22,18188,62.7,62.22,62.22,63.762,1184055
2020-12-23,11571,62.2,61.17,60.86,62.2,956853
2020-12-24,15661,62.87,61.52,61.52,63.17,268643
2020-12-28,163998,63.12,64.03,63.12,64.03,737370
2020-12-29,4368,63.4,61.08,60.9,63.4,1143666
2020-12-30,2017,63.04,61.35,61.35,64.826,1109935
2021-01-04,80845,59.49,63.1,59.34,65.013,2508431
2021-01-05,219,60.75,60.1,58.85,61.77,3251966
2021-01-06,68,60.64,60.34,60.34,63.4,3249917
2021-01-07,27471,64.01,62.82,62.82,65.91,2592812
2021-01-08,1994,65.07,64.0,63.4,66.71,1587561
2021-01-12,6433,64.86,64.7,63.18,64.86,1337873
2021-01-13,4505,65.1,64.13,64.13,65.38,1498886
2021-01-14,5203,65.28,64.8,64.8,65.51,1485326
2021-01-15,5447,65.78,64.73,63.9,66.64,1384281
2021-01-20,4605,63.92,62.9,61.27,63.95,1537037
2021-01-22,1363,61.54,61.21,61.21,63.2,959548
2021-01-25,178,59.83,63.0,59.83,63.0,1557225
2021-01-26,13445,60.2,61.3,60.06,61.3,1270842
2021-01-28,109,58.75,59.22,58.75,60.73,1856098
2021-01-29,85,58.1,59.74,56.94,60.19,1277273
2021-02-01,18655,60.92,60.3,58.78,60.92,1443821
2021-02-02,3589,61.0,61.43,60.4451,63.17,1083620
2021-02-03,3803,62.81,61.42,61.42,62.81,1118509
2021-02-04,3453,61.82,60.5,60.5,62.91,1367393
2021-02-05,3398,60.46,60.94,60.307,60.94,1093411
2021-02-08,1827,62.8,60.49,60.49,62.8,1277541
2021-02-09,2618,62.95,62.08,61.01,63.09,1888948
2021-02-10,1027,61.4,62.35,61.4,63.19,1873866
2021-02-11,69143,59.45,60.55,58.01,61.54,5321855
2021-02-12,691,61.91,59.35,59.02,61.91,2629713
2021-02-16,382734,61.2,61.56,61.2,61.67,1684712
2021-02-18,942,62.92,60.22,60.22,62.92,1312774
2021-02-22,13233,61.55,61.23,61.23,64.07,1292947
2021-02-23,14277,61.78,63.56,60.8,63.56,1277936
2021-02-24,8354,64.41,62.46,61.01,64.41,1106789
2021-02-26,617,61.7,62.49,61.7,62.85,1843856
2021-03-01,7182,63.14,61.8,61.8,63.14,986167
2021-03-02,293558,65.23,64.96,63.91,65.23,3367742
2021-03-03,137925,65.98,62.38,62.38,65.98,3168203
2021-03-05,80016,63.81,63.93,63.81,65.81,2869562
2021-03-08,10,66.0,63.83,63.83,67.57,3804890
2021-03-09,4450,65.27,67.25,65.27,67.95,1977317
2021-03-11,3829,64.36,64.3,64.3,67.24,1151034
2021-03-15,18706,65.0,66.8,63.33,66.8,1562221
2021-03-16,16572,64.18,67.1,64.18,67.1,1212579
2021-03-18,19,66.95,65.78,64.96,67.4,719935
2021-03-22,113,64.68,66.0,64.507,66.0,3118167
2021-03-23,6631,66.92,66.25,66.17,66.92,1612048
2021-03-24,1263,68.6,68.011,66.86,68.6,1545677
2021-03-25,46668,66.88,65.83,65.83,67.91,1301813
2021-03-29,216,69.56,68.2,66.99,69.93,2601942
2021-03-30,19769,66.78,67.11,66.78,68.35,1197604
2021-03-31,21200,67.0,65.65,65.65,68.08,1234530
2021-04-01,9219,68.38,66.29,66.29,68.38,1143145
2021-04-06,3971,68.01,68.04,66.5,68.4,718122
2021-04-09,123,67.5,66.81,66.195,68.5,851102
2021-04-14,405,66.81,67.37,66.81,68.64,1046570
2021-04-15,39878,68.01,67.9,66.72,68.01,1001170
2021-04-16,133043,68.6,66.84,66.84,68.6,1418910
2021-04-19,368271,67.94,69.36,67.88,69.36,1019914
2021-04-20,207165,68.48,66.41,66.41,68.48,2425123
2021-04-21,32296,67.16,66.42,66.0,67.5,827783
2021-04-22,6040,69.04,69.04,68.48,69.107,1117713
2021-04-23,4592,67.02,69.09,67.02,69.09,905516
2021-04-26,3674,69.63,68.3,68.068,69.63,726082
2021-04-27,23795,69.33,66.95,66.95,69.33,1053950
2021-04-28,14061,69.54,69.54,68.21,70.67,944570
2021-04-29,27366,69.95,70.44,69.89,71.21,1404452
2021-04-30,23940,71.06,70.92,67.87,72.38,2068539
