Date,NOK_QUANTITY_FAILS,close,open,low,high,volume
2021-01-26,255305,4.81,5.29,4.81,5.52,397281446
2021-01-27,5295137,6.85,5.11,4.99,9.8,1185322824
2021-01-28,1434473,4.86,5.21,4.7,5.53,679625406
2021-01-29,31510319,4.7,5.23,4.63,5.3,371582785
2021-02-01,15058422,5.03,5.16,4.71,5.16,198461315
2021-02-02,223584,4.68,4.84,4.5,4.92,173903031
2021-02-03,792488,4.9,4.82,4.68,4.9233,99970238
2021-02-04,791260,4.47,4.56,4.47,4.64,153906219
2021-02-05,553791,4.37,4.4,4.3,4.4,109026937
2021-02-09,36902,4.22,4.45,4.22,4.45,83713126
2021-02-10,19259,4.18,4.37,4.1,4.37,80439438
2021-02-11,300,4.2,4.31,4.2,4.31,66259264
2021-02-12,96541,4.33,4.3,4.17,4.413,52996749
2021-02-16,3961,4.27,4.24,4.24,4.3,43286792
2021-02-17,10700,4.14,4.1,4.08,4.2,52283935
2021-02-23,15,3.95,3.98,3.95,4.13,70870446
2021-02-24,64538,4.14,3.95,3.95,4.24,80470088
2021-02-25,182853,4.09,4.33,4.09,4.55,125349746
2021-03-01,243573,4.09,4.07,4.07,4.18,40995716
2021-03-02,8229,4.15,4.12,4.0,4.26,30083945
2021-03-03,23904,4.05,4.0,3.99,4.09,41597753
2021-03-04,48270,3.89,4.13,3.78,4.13,80443305
2021-03-05,206719,3.97,3.99,3.89,3.99,63766444
2021-03-09,53537,4.07,3.98,3.98,4.18,29863805
2021-03-10,226602,4.07,4.15,3.93,4.15,48858921
2021-03-11,56795,4.2,4.11,4.05,4.34,48012181
2021-03-15,475010,4.5,4.36,4.34,4.57,61559178
2021-03-16,317049,4.34,4.33,4.33,4.39,38718244
2021-03-19,127390,4.17,4.13,4.05,4.25,48235247
2021-03-26,1433,4.15,4.2,4.12,4.24,35288357
2021-04-01,471,4.0,4.0,4.0,4.24,24655950
2021-04-06,40589,4.0,4.14,4.0,4.14,25605722
2021-04-09,10,4.2,4.24,4.11,4.31,47345912
2021-04-13,407621,4.24,4.16,4.14,4.32,24064475
2021-04-16,60890,4.3,4.2,4.2,4.39,23417028
2021-04-22,17691,4.17,4.3,4.17,4.33,31357649
2021-04-23,1101,4.3,4.23,4.15,4.4,25094702
2021-04-26,6560,4.3,4.22,4.22,4.35,34552670
2021-04-30,200,4.89,4.86,4.82,4.91,67490025
2021-05-03,238983,5.03,4.83,4.77,5.14,76416056
2021-05-04,38389,4.8,4.9,4.69,4.9,54768299
2021-05-06,156,4.9,5.0,4.9,5.01,38912779
2021-05-07,100841,5.3,5.03,5.03,5.3,78715840
2021-05-10,418,5.2,5.2,5.16,5.26,58270865
2021-05-11,32656,5.02,5.04,5.02,5.07,49290704
2021-05-17,11796,5.12,5.04,5.017,5.171,22111338
2021-05-18,60148,5.07,5.07,5.07,5.1,45065539
2021-05-19,4455,5.03,4.9,4.9,5.03,27472727
2021-05-20,1948247,5.18,5.11,5.09,5.36,50238759
2021-05-21,306,5.27,5.4,5.12,5.412,40757522
2021-05-24,99944,5.24,5.16,5.0,5.34,21276941
2021-05-25,304223,5.0,5.05,5.0,5.13,26975204
2021-05-27,27690,5.13,4.98,4.98,5.3,53938559
2021-05-28,759,5.19,5.2,5.19,5.29,69082149
2021-06-02,1003,5.62,5.41,5.41,5.81,126154044
2021-06-03,40156,5.6,5.6,5.48,5.734,105146650
2021-06-08,165360,5.8,5.69,5.69,5.8,48899543
2021-06-09,855,5.56,5.6,5.56,5.65,47570590
2021-06-14,65394,5.64,5.66,5.47,5.71,18939219
2021-06-15,407745,5.36,5.45,5.36,5.5834,28990425
2021-06-17,24933,5.22,5.3,5.22,5.39,22365553
2021-06-22,25821,5.31,5.24,5.15,5.31,21412471
2021-06-30,126811,5.38,5.41,5.38,5.61,23144568
2021-07-02,987428,5.44,5.49,5.44,5.54,17258058
2021-07-06,352555,5.57,5.64,5.43,5.64,22735386
2021-07-07,500,5.54,5.54,5.54,5.6,23646053
2021-07-09,16208,5.69,5.68,5.68,5.69,17611654
2021-07-12,100490,5.58,5.52,5.41,5.59,18077865
2021-07-16,154160,5.85,6.04,5.85,6.04,25446171
2021-07-19,66,5.7,5.76,5.7,5.79,37462977
2021-07-20,12280,5.83,5.75,5.7,5.962,34023251
2021-07-22,42666,5.98,6.0,5.79,6.0,20627523
2021-07-23,1185910,5.84,5.95,5.78,6.0,16572913
2021-07-27,10639,5.77,6.01,5.77,6.01,29265411
2021-07-29,147297,6.32,6.37,6.15,6.53,71383628
2021-08-02,6134,6.21,6.33,6.21,6.33,36546468
2021-08-03,43641,6.31,6.45,6.18,6.59,33053577
2021-08-06,800,6.4,6.39,6.31,6.49,20492837
2021-08-10,1791,6.27,6.1,6.1,6.27,18721758
2021-08-13,26478,6.13,6.28,6.13,6.28,13810732
2021-08-17,23931,5.95,6.05,5.95,6.2,22523620
2021-08-19,1512,6.0,6.0,5.94,6.09,25319765
2021-08-20,584,6.2,5.93,5.93,6.2,12444467
2021-08-23,740,6.13,5.97,5.97,6.29,17797722
2021-08-24,94613,6.21,6.18,6.18,6.23,17304245
2021-08-27,3022,6.1,6.09,6.07,6.19,14908310
2021-08-31,2547,6.1,6.13,6.07,6.21,17438074
2021-09-02,402,6.14,6.12,6.12,6.27,13937331
2021-09-08,26587,6.17,6.0,6.0,6.17,15567526
2021-09-09,166775,6.01,6.06,6.01,6.07,17669314
2021-09-10,1167,6.02,5.97,5.97,6.17,24612758
2021-09-14,13826,5.88,6.1,5.88,6.1,17183835
