Date,BB_QUANTITY_FAILS,close,open,low,high,volume
2020-10-13,4582,5.4,4.93,4.93,5.4,11199671
2020-10-14,5681,5.27,5.25,5.1109,5.27,5401483
2020-10-15,60822,5.19,5.05,4.98,5.26,4579981
2020-10-16,72775,5.17,5.4,4.99,5.4,6121284
2020-10-19,111115,5.21,5.06,5.06,5.32,4938072
2020-10-20,2583,5.08,5.3,5.08,5.41,4726767
2020-10-22,18714,5.38,5.28,5.093,5.38,2775116
2020-10-23,143,5.33,5.36,5.14,5.36,2571417
2020-10-26,3399,5.02,5.09,4.88,5.17,3891143
2020-10-27,1600,4.87,4.9,4.87,5.16,2134172
2020-10-28,23035,4.65,4.89,4.62,4.92,4073917
2020-10-29,86172,4.75,4.7,4.58,4.75,2616903
2020-10-30,214690,4.5,4.71,4.5,4.8251,3616563
2020-11-02,42905,4.57,4.6,4.57,4.62,3006132
2020-11-03,1636,4.69,4.68,4.67,4.79,2849523
2020-11-04,94912,4.88,4.8,4.585,4.97,3244254
2020-11-05,5411,5.01,4.83,4.83,5.01,2654176
2020-11-06,7143,5.05,4.89,4.89,5.05,2902017
2020-11-09,28710,5.15,5.14,5.01,5.2366,4016691
2020-11-10,45176,5.12,5.0,4.84,5.12,4325176
2020-11-12,31594,5.01,5.23,5.01,5.45,3002690
2020-11-13,30406,5.36,5.19,5.19,5.36,5446248
2020-11-16,71513,5.38,5.22,5.22,5.44,3435564
2020-11-17,5575,5.52,5.39,5.23,5.52,3325730
2020-11-18,72616,5.57,5.37,5.37,5.85,6156675
2020-11-19,40068,5.55,5.53,5.316,5.63,4569803
2020-11-20,1252,5.77,5.37,5.34,5.95,6841115
2020-11-23,811547,5.94,5.85,5.67,6.023,5198799
2020-11-24,61596,5.9,5.83,5.83,5.92,5331455
2020-11-25,2588,6.06,5.7,5.7,6.21,5208321
2020-11-27,71561,6.4,6.13,6.13,6.4,3872635
2020-11-30,1000,6.15,6.44,6.02,6.44,7071115
2020-12-01,66206,7.0,8.51,7.0,9.83,343235965
2020-12-03,103598,7.72,7.64,7.2,7.72,41785970
2020-12-04,8470,8.74,7.5,7.47,8.74,72678321
2020-12-07,38462,8.34,9.03,8.15,9.03,45024492
2020-12-08,3728,8.65,8.43,8.43,8.99,27996804
2020-12-09,29164,8.59,8.64,8.09,9.03,20470517
2020-12-10,259435,8.57,8.2,8.2,8.7,11159704
2020-12-11,190828,8.26,8.4,8.0,8.4,12202936
2020-12-14,1047,8.61,8.37,8.37,8.9,14966827
2020-12-16,35,8.36,8.51,8.36,8.57,8226059
2020-12-17,72692,8.44,8.3,8.3,8.556,18143389
2020-12-18,97096,7.2,7.92,7.15,8.01,50954097
2020-12-21,546436,7.43,7.07,6.95,7.43,18190808
2020-12-22,295927,7.52,7.29,7.29,7.52,17605581
2020-12-23,645744,7.25,7.4,7.25,7.63,9145917
2020-12-24,328566,7.08,7.23,7.08,7.5,6210659
2020-12-28,297689,6.96,7.4,6.96,7.4,10140438
2020-12-29,61678,6.92,7.23,6.867,7.23,11684177
2020-12-30,51804,6.92,6.84,6.7,6.92,9700890
2020-12-31,738,6.67,6.87,6.67,7.0,7756073
2021-01-04,506392,6.65,7.0,6.65,7.0,11426337
2021-01-05,84745,6.89,6.94,6.62,6.94,9145783
2021-01-06,335512,6.9,7.02,6.77,7.02,11308393
2021-01-07,422050,7.28,6.93,6.76,7.389,13573352
2021-01-08,16140,7.76,7.51,7.3,7.8509,23290273
